index,nombre,precio,precioanterior,preciounico,plazo,quincenas_24,marca,sku,href,nombrepromocion,categoria,fechadeconsulta
793,Vestido Sara Glamm de Noche,0.0,0.0,2539.0,24,34.0,SARA GLAMM,8770933,https://www.coppel.com/broqueles-de-oro-10k-plafer-pm-8770933,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
797,Celular Apple iPhone 11 64gb color Negro Reacondicionado,7999.0,12999.0,0.0,24,657.0,Apple,2664593,https://www.coppel.com/pantalla-led-hisense-ultra-hd-4k-58-pulgadas-smart-tv-58h6500g-pm-2664593,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
801,Cinturón Wall Street,0.0,0.0,149.0,24,195.0,WALL STREET,8775223,https://www.coppel.com/pulsera-de-oro-10k-sentimientos-pm-8775223,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
805,Pantalla Smart Tv 75 Pulgadas Hisense 75r6e3 color Negro Reacondicionado,0.0,0.0,20009.0,24,349.0,Hisense,2702363,https://www.coppel.com/virgin-xiaomi-desbloqueado-redmi-note-11-128-gb-star-blue-pm-2702363,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
809,Pijama Lovest,0.0,0.0,229.0,24,18.0,LOVEST,3203482,https://www.coppel.com/brasier-con-varilla-lovest-copa-completa-3-pack-pr-3203482,Anuncio: Hasta 30% de descuento en lencería. Pulsa aquí para comprar.,Lenceria,2022-06-22
813,Pulsera de Plata Sahara,759.0,769.0,0.0,24,84.0,SAHARA,8672513,https://www.coppel.com/anillo-de-oro-10k-amelie-nro-6-6-5-pm-8672513,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
817,Pantalla LG Nanocell 65 Smart TV 4k Uhd Bluetooth HDMI USB Series 2021 65nano85apa Reacondicionada,18989.0,23989.0,0.0,24,349.0,LG,2702363,https://www.coppel.com/virgin-xiaomi-desbloqueado-redmi-note-11-128-gb-star-blue-pm-2702363,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
821,Calcetas de Moda 18 Forever 6 Pares,0.0,0.0,109.0,24,18.0,18 FOREVER,3203482,https://www.coppel.com/brasier-con-varilla-lovest-copa-completa-3-pack-pr-3203482,Anuncio: Hasta 30% de descuento en lencería. Pulsa aquí para comprar.,Lenceria,2022-06-22
825,Broqueles de Oro 10K Frassinoro,569.0,589.0,0.0,24,34.0,FRASSINORO,8770933,https://www.coppel.com/broqueles-de-oro-10k-plafer-pm-8770933,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
829,"Pantalla LED LG 70"" Ultra HD 4K Smart TV AI ThinQ 70UP7750PSB",20999.0,26099.0,0.0,24,657.0,LG,2664593,https://www.coppel.com/pantalla-led-hisense-ultra-hd-4k-58-pulgadas-smart-tv-58h6500g-pm-2664593,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
833,Vestido Sara Glamm de Noche,0.0,0.0,2739.0,24,84.0,SARA GLAMM,8672513,https://www.coppel.com/anillo-de-oro-10k-amelie-nro-6-6-5-pm-8672513,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
837,Celular Samsung Desbloqueado Galaxy S22+ 128 GB Negro,0.0,0.0,26099.0,24,657.0,SAMSUNG,2664593,https://www.coppel.com/pantalla-led-hisense-ultra-hd-4k-58-pulgadas-smart-tv-58h6500g-pm-2664593,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
841,Juego de Cadena y Aretes de Brass Disney,469.0,679.0,0.0,24,84.0,DISNEY,8672513,https://www.coppel.com/anillo-de-oro-10k-amelie-nro-6-6-5-pm-8672513,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
845,Telcel Apple iPhone 11 64 GB White,0.0,0.0,13899.0,24,657.0,APPLE,2664593,https://www.coppel.com/pantalla-led-hisense-ultra-hd-4k-58-pulgadas-smart-tv-58h6500g-pm-2664593,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
849,Vestido Sara Glamm de Noche,0.0,0.0,2539.0,24,84.0,SARA GLAMM,8672513,https://www.coppel.com/anillo-de-oro-10k-amelie-nro-6-6-5-pm-8672513,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
853,Celular Reacondicionado Apple iPhone 11 64gb color Morado,10369.0,14999.0,0.0,24,418.0,Apple,7101127,https://www.coppel.com/pantalla-led-hisense-40-smart-tv-fhd-1080p-h4f-series-40h4030f-40h4030f1-reacondicionado-mkp-47101127,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
857,Pulsera de Brass Inspired By You,299.0,379.0,0.0,24,22.0,INSPIRED B,8618123,https://www.coppel.com/broqueles-de-oro-10k-sabelli-pm-8618123,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
861,Celular Reacondicionado Apple Iphone 11 de 64gb/ 4gb Ram Blanco más Kit de Accesorios,10499.0,14999.0,0.0,24,418.0,Apple,7101127,https://www.coppel.com/pantalla-led-hisense-40-smart-tv-fhd-1080p-h4f-series-40h4030f-40h4030f1-reacondicionado-mkp-47101127,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
865,Broqueles de Oro 10K Baby Colors,339.0,379.0,0.0,24,22.0,BABYCOLORS,8618123,https://www.coppel.com/broqueles-de-oro-10k-sabelli-pm-8618123,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
869,"Pantalla LED Hisense 43"" Full HD Smart TV 43A4GR",6599.0,9499.0,0.0,24,657.0,HISENSE,2664593,https://www.coppel.com/pantalla-led-hisense-ultra-hd-4k-58-pulgadas-smart-tv-58h6500g-pm-2664593,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
873,Celular Reacondicionado Apple Iphone XR de 64gb color Negro,6739.0,9269.0,0.0,24,418.0,Apple,7101127,https://www.coppel.com/pantalla-led-hisense-40-smart-tv-fhd-1080p-h4f-series-40h4030f-40h4030f1-reacondicionado-mkp-47101127,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
877,Collar de Brass Mestige,329.0,419.0,0.0,24,25.0,MESTIGÉ,8617153,https://www.coppel.com/broqueles-de-oro-10k-baby-colors-pm-8617153,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
881,Collar de Brass Mestige,329.0,419.0,0.0,24,25.0,MESTIGÉ,8617153,https://www.coppel.com/broqueles-de-oro-10k-baby-colors-pm-8617153,Anuncio: Class of 2022. Looks de graduación desde 15 pesos quincenales. Pulsa aquí para comprar.,Multicategoria,2022-06-22
885,Pantalla Led Onn 42'' Class Fhd 1080p Smart Tv 100068372 Reacondicionado,6299.0,7499.0,0.0,24,349.0,Onn,2702363,https://www.coppel.com/virgin-xiaomi-desbloqueado-redmi-note-11-128-gb-star-blue-pm-2702363,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
889,Pantalla Smart Tv 70 pulgadas Hisense 70h6570g  color Negro Reacondicionado,0.0,0.0,21999.0,24,657.0,Hisense,2664593,https://www.coppel.com/pantalla-led-hisense-ultra-hd-4k-58-pulgadas-smart-tv-58h6500g-pm-2664593,Anuncio: Hasta 44% de descuento en pantallas y celulares. Pulsa aquí para estrenar.,Pantallas y celulares,2022-06-22
